Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2001-09-11,14:56:50,133.13,-0.58,33.0,6.5,mwc,USGS
2001-09-11,15:16:16,132.91,-0.72,33.0,5.0,mb,USGS
2001-09-11,17:52:34,132.87,-1.08,33.0,4.5,mb,USGS
2001-09-11,19:53:32,132.85,-0.74,33.0,3.7,mb,USGS
2001-09-11,20:03:27,132.75,-0.7,33.0,4.2,mb,USGS
2001-09-11,20:34:10,133.1,-0.7,33.0,4.2,mb,USGS
2001-09-12,21:01:27,132.9,-0.72,33.0,4.5,mb,USGS
2001-09-12,21:54:03,132.92,-0.71,33.0,4.8,mb,USGS
2001-09-13,05:14:44,132.65,-0.68,33.0,3.9,mb,USGS
2001-09-13,19:22:01,132.91,-0.74,33.0,4.9,mb,USGS
2001-09-15,14:34:28,133.06,-0.67,33.0,4.8,mb,USGS
2001-09-17,09:33:27,132.67,-0.63,33.0,4.2,mb,USGS
2001-09-17,17:23:13,132.98,-0.77,33.0,4.5,mb,USGS
